,resto name,mark,location
95,Rugatinos,3.5,"Promenade, Agadir, Souss-Massa, Morocco"
96,Vita Mix agadir,4.5,"Avenue des Far N 110, Agadir, Souss-Massa, Morocco"
97,Cafe Snack Itry,5,"Rue Al Farabi, Agadir, Souss-Massa, Morocco"
98,Mikey's burger,4.5,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
99,Pasta Basta,4.5,"4 Av. General Kettani, Agadir, Souss-Massa, Morocco"
100,Bloom Restaurant & Lounge,4.5,"N_ 4 Avenue Mohammed V, Agadir, Souss-Massa, Morocco"
101,Soleil d'Agadir,3.5,"5 rue Princesse, Lille, Nord, Hauts-de-France, France"
102,SoS Gusto,4,"Ave duPrince Moulay Abdallah, Agadir, Souss-Massa, Morocco"
103,Groupe sushi Fleur de Ming (centre ville),3.5,"Rue de la Foire, Agadir, Souss-Massa, Morocco"
104,Casa De Espana Restaurant-Bar,4,"Immeuble A, Agadir, Souss-Massa, Morocco"
105,O'comptoir,3,"Agadir, Souss-Massa, Morocco"
106,Captain Bodega,4,"La Marina, Agadir, Souss-Massa, Morocco"
107,Poisson Al Jazera,3.5,"Rue Des Orangers, Agadir, Souss-Massa, Morocco"
108,Restaurant Venezia,4,"Tawada Corniche, Agadir, Souss-Massa, Morocco"
109,Agadir Burger - Jerusalem Kosher,3,"10 Shderot Yitskhak Rabin, Jerusalem, Jerusalem District, Israel"
110,CoffeeShop Agadir,4,"Rue La Plage, Agadir, Souss-Massa, Morocco"
111,Dar Tajine,3.5,"Rue 2 Mars, Agadir, Souss-Massa, Morocco"
112,Espressolab,3,"The Marina, Agadir, Souss-Massa, Morocco"
113,Restaurant du Port,4.5,"Km 26 route d'Essaouira, Imi Ouaddar, Souss-Massa, Morocco"
114,La Bodeg,5,"Boulevard du 20 aout, Agadir, Souss-Massa, Morocco"
115,Linan Kebab,4.5,"Bd Mohamed Cheikh Saadi, Agadir, Souss-Massa, Morocco"
116,Taj Costa Bella,5,"Rue La Plage, Agadir, Souss-Massa, Morocco"
117,La Cucina Di Mamma,5,"1 Residence Yasmine, Agadir, Souss-Massa, Morocco"
118,le Pavilon,5,"Agadirbay 2, Agadir, Souss-Massa, Morocco"
119,Fine Fish Restaurant Poisson,4.5,"N 87, Av. Tomboctou, Al Massira, Agadir, Souss-Massa, Morocco"
120,Yacht Club Restaurant Du Port de Peche,4.5,"Ancien Port d'Agadir, Agadir, Souss-Massa, Morocco"
121,Grillade Poissons Bladi,4.5,"Rue Abderrahim Bouabid, Agadir, Souss-Massa, Morocco"
122,M'riste Jouhar,4.5,"6 Rue Diouri, Essaouira, Marrakech-Safi, Morocco"
123,Mister cook,4.5,"Avenue benzidan N87 cite salam agadir maroc, Agadir, Souss-Massa, Morocco"
124,Aux Delices D'agadir,4.5,"13 rue du Marechal Foch, La Roche-sur-Yon, Vendee, Pays de la Loire, France"
125,Agadir,4.5,"Taunusstrasse 22A, Wiesbaden, Hesse, Germany"
126,Cafe & Restaurant Costa Sud,4,"No.5,Residence Moulay Youssef,Ennada,, Agadir, Souss-Massa, Morocco"
127,Churrascaria Marius Agadir,4,"Complexe Tivoli Bloc F, Boulevard 20 Aout, Agadir, Souss-Massa, Morocco"
128,Agadir Burger - Bilu Center,4,"Kiryat Ekron, Central District, Israel"
129,Pizzeria Oumlil,4.5,"Boulevard Hassan 2, Agadir, Souss-Massa, Morocco"
130,Cafe Restaurant Darole,5,"18 Bis Passage Ait Souss, Agadir, Souss-Massa, Morocco"
131,Restaurant Japonais Saito Kan,3,"Avenue 20 Aout, Agadir, Souss-Massa, Morocco"
132,The Pirate Pub,4,"Agadir, Souss-Massa, Morocco"
133,Amore & Passione,4,"Front de mer lot N.8 plage d'Agadir, Agadir, Souss-Massa, Morocco"
134,La Cote D'Or - Cafe & Restaurant,3.5,"Front de Mer, Agadir, Souss-Massa, Morocco"
135,Complexe le Dome,3,"Angle Place du Marche et Avenue Hassan II Agadir, Agadir, Souss-Massa, Morocco"
136,JOHARA Restaurant marocain,5,"bd du 20 Aout, Agadir, Souss-Massa, Morocco"
137,Brooklyn Pizza,4,"Founty, Agadir, Souss-Massa, Morocco"
138,Cafe caprice,4,"Founty, 80000 Agadir Bay, Agadir, Souss-Massa, Morocco"
139,Venezia Ice,2,"BD Mohammed Chikh Saadi les Galeries de Talborjt, Agadir, Souss-Massa, Morocco"
140,Alfarooj Restaurant,3,"84 Avenue President Kennedy, Agadir, Souss-Massa, Morocco"
141,Restaurant Le Spot,4.5,"Taghazout Centre, Taghazout, Souss-Massa, Morocco"
142,LOFT Luxury Restaurant Lounge Bar,3,"Boulevard Mouhamed V 80000 Agadir, Agadir, Souss-Massa, Morocco"
143,Pool Lounge Bar & Restaurant Thalassa Sea & Spa,4,"Baie des Palmiers Cite Founty P5 Secteur touristique 80010 - AGADIR MOROCCO, Agadir, Souss-Massa, Morocco"
144,Costabella Istanbul Antochia Cafe Restourant Patisirre,4,"7, Passage Tawada - Secteur Touristique Agadir, Agadir, Souss-Massa, Morocco"
145,Richies Cafe Restaurant,4,"1 K11 N Highway, Aourir, Souss-Massa, Morocco"
146,McDonald's,3.5,"Avenue Mohamed V, Agadir, Souss-Massa, Morocco"
147,Koob Coffee,4,"10 BD TAWADA, bord de mer, Agadir, Souss-Massa, Morocco"
148,Salsa Rosa,4,"Avenue My Youssef Hay Nada N7, Agadir, Souss-Massa, Morocco"
149,Mika Sushi,4,"58 rue Omar Bnou Al Khatab, Agadir, Souss-Massa, Morocco"
150,Moon Naan,5,"Mag n'9 , Av des FAR Res El Menzah, Agadir, Souss-Massa, Morocco"
151,Le Palais du Jardin,4.5,"5 Baie des Palmiers Cite Founty P, Agadir, Souss-Massa, Morocco"
152,Bayt Al Mandi Gulf Restaurant,5,"Boulevard Hassan II, Agadir, Souss-Massa, Morocco"
153,Atlas Kasbah Restaurant,5,"Tighanimine El Baz Village - Azrarag Road, Agadir, Souss-Massa, Morocco"
154,Cafe Restaurant Terre & Mer,5,"N_ 272 Lotissement, Agadir, Souss-Massa, Morocco"
155,Snack Assalam City,5,"Av. Mohammed V, Agadir, Souss-Massa, Morocco"
156,Marrakech,4.5,"370 Evans Bay Parade, Wellington, Greater Wellington, North Island, New Zealand"
157,Fouquet’s,5,"2 Bd Du Aout, Agadir, Souss-Massa, Morocco"
158,La Nasse,4.5,"Sofitel Agadir Royal Bay, Agadir, Souss-Massa, Morocco"
159,Riad Foutour Sarir,4.5,"12 Rue Sidibouknadel Rue Fez, Agadir, Souss-Massa, Morocco"
160,Agadir,4,"Quai des Salines 18, Tournai, Hainaut Province, Wallonia, Belgium"
161,Timam Du Chef - Restauration Pezzeria,5,"Hay Ait Soual, Tamraght, Agadir, Souss-Massa, Morocco"
162,Moroccan Bites,4,"5714 Evers Rd, San Antonio, Texas"
