,resto name,mark,location
553,CoolBurgers,no mark,"Residence Afoud, N_ 118, Agadir, Souss-Massa, Morocco"
554,Tapasko,no mark,"Anouar Souss, Agadir, Souss-Massa, Morocco"
555,Surf One Restaurant,5,"Hay Aitsoual, Tamraght, Agadir, Souss-Massa, Morocco"
556,Rouji Sushi,no mark,"G74 Hay El Houda, Agadir, Souss-Massa, Morocco"
557,Mamie Kitchen,3,"N 5228 Avenue Sale, Agadir, Souss-Massa, Morocco"
558,Friends Eatery & Coffee House,5,"Avenue Hassan 1,, Agadir, Souss-Massa, Morocco"
559,Hum-Burger,4,"15 Rue Khaled Bn Walid, Agadir, Souss-Massa, Morocco"
560,Mac kebab,no mark,"Avenue Almouqawama, Agadir, Souss-Massa, Morocco"
561,The Comfort Cafe,no mark,"Avenue Al Mokhtar Soussi, Inezgane, Agadir, Souss-Massa, Morocco"
562,Restaurant LA PLAGE et sa plage privee,no mark,"Sofitel Agadir Thalassa Sea & Spa , Agadir, Souss-Massa, Morocco"
563,Fruta Box,no mark,"Av. Des Forces Armees Royales, Agadir, Souss-Massa, Morocco"
564,Le Poisson Chez Jamal,5,"Batoire Rue Lhaj Ahmed Akhnouch, Agadir, Souss-Massa, Morocco"
565,Cafe snack le jardin,5,"Avenue Akhnouche, Agadir, Souss-Massa, Morocco"
566,Pizzeria Roma,1,"27 Passage Tawada, Agadir, Souss-Massa, Morocco"
567,La Casa Del Burgers,no mark,"25 av al Kawakibi Dakhla Agadir, Agadir, Souss-Massa, Morocco"
568,Class Food,no mark,"Boulevard du 20, Agadir, Souss-Massa, Morocco"
569,Twisty food,no mark,"101 Avenue Hassan 2, Agadir, Souss-Massa, Morocco"
570,Agadrive24,5,"Agadrive, Agadir, Souss-Massa, Morocco"
571,Chicko's - fried chicken and burger,no mark,"Sonaba, immeuble N_ 2, Agadir bay 1, Agadir, Souss-Massa, Morocco"
572,Leaf Color Boulangerie  Patisserie,no mark,"No 5 immeuble Meknes Founty 124B, Agadir, Souss-Massa, Morocco"
573,Mare Nostrum,5,"Technopole 1I18/BM20 Hay, Agadir, Souss-Massa, Morocco"
574,Plaisirs Sucres,2,"Lahoucine Achengli Sonaba, Agadir, Souss-Massa, Morocco"
575,Rancheros,no mark,"Les Jardins d'Agadir, Agadir, Souss-Massa, Morocco"
576,O'calamars,no mark,"Bd Hassan 1 Numero 225, Agadir, Souss-Massa, Morocco"
577,Resto U,no mark,"Universiapolis, Agadir, Souss-Massa, Morocco"
578,Restaurant Le Beldi,no mark,"El Menzeh 3, Imm 4 - Mag 09, Av. Des Forces Armees, Agadir, Souss-Massa, Morocco"
579,Cafe Restaurant Le Panoramic,no mark,"Paradise Valley, Agadir, Souss-Massa, Morocco"
580,Seven,5,"5 Cite Swisse, Agadir, Souss-Massa, Morocco"
581,Seven's House,no mark,"N 8 Al Manzah 2 Avenue Des Fars, 80000 Agadir, Maroc, Agadir, Souss-Massa, Morocco"
582,Subway Fish,no mark,"Main Street, Tamraght, Agadir, Souss-Massa, Morocco"
583,Chez Youssef,5,"Rue de Ougda, Agadir, Souss-Massa, Morocco"
584,Rouji Sushi,no mark,"Rue Tin Mal, Agadir, Souss-Massa, Morocco"
585,Karfa & Kamun,no mark,"Hay ait Souall Tamraght, Auorir, Tamraght, Agadir, Souss-Massa, Morocco"
586,Crispy Food,no mark,"Hay Salam Agadir, Rue Gerssif, Agadir, Souss-Massa, Morocco"
587,Cafe Coin Dallas,no mark,"Residence IKEN Park Imm B Boulevard, Agadir, Souss-Massa, Morocco"
588,La Mirada,5,"Avenue Taznakht, Agadir, Souss-Massa, Morocco"
589,Le Calisson Cafe,no mark,"Imm.Noussairi Avenue General Kettani, Agadir, Souss-Massa, Morocco"
590,La Luna,no mark,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
591,La Bananeraie Restaurant,no mark,"Tamri Km 53 N1 Agadir Essaouira, Tamri, Agadir, Souss-Massa, Morocco"
592,Cozy Coin Restaurant,5,"N 10 Agadir bay pres du lycee Francais d'Agadir, Agadir, Souss-Massa, Morocco"
593,Capulibris,no mark,"Bab Al Madina, Quartier Tilila, Agadir, Souss-Massa, Morocco"
594,Restaurant ADENS,no mark,"N 19 Rue Des Orangers, Agadir, Souss-Massa, Morocco"
595,Pronto pizza,no mark,"305 Bis, Agadir, Souss-Massa, Morocco"
596,Carrito,5,"n 65 Avenue Kennedy Talborjt, Agadir, Souss-Massa, Morocco"
597,Crepe&Go,5,"53 avenue HASSAN II. Agadir, Agadir, Souss-Massa, Morocco"
598,Cafe restaurant panoramique Anounfeg,no mark,"Ville Nouvelle, Agadir, Souss-Massa, Morocco"
599,Cafe Restaurant KARISMA,no mark,"Cite Sonaba, Agadir, Souss-Massa, Morocco"
600,Barbossa,no mark,"Boulevard Rabat, Nr 3626, Cite Alhay Almohamadi, Agadir, Souss-Massa, Morocco"
601,Cafe Restaurant KARISMA,no mark,"Cite Sonaba, Agadir, Souss-Massa, Morocco"
602,Be Fit Foods,no mark,"Hay Mohammadi, Agadir, Souss-Massa, Morocco"
603,Piapara Fish Restaurant,5,"Agadir, Souss-Massa, Morocco"
604,Dar Jad,no mark,"Lot I18 Amo3 Technopole 1 Agadirbay, Agadir, Souss-Massa, Morocco"
605,Wake Up,5,"Av. Mohamed El Fassi, Agadir, Souss-Massa, Morocco"
606,Le Tea Time Restaurant,no mark,"F2 Bloc F Complexe Tivoli, Boulevard Du 20 Aout, Agadir, Souss-Massa, Morocco"
607,Papote,no mark,"6 Place Du Prince Heritier, Agadir, Souss-Massa, Morocco"
608,O'snack,5,"Rue oued ziz sidi youssef, Agadir, Souss-Massa, Morocco"
609,Coolburger,no mark,"Residence Afoud, N_ 118, Agadir 80000, Agadir, Souss-Massa, Morocco"
610,El Chef Happy Pasta,5,"Tigouma Ifoulkine, Agadir, Souss-Massa, Morocco"
611,La Friterie,1,"1 Magasin 18, Agadir Bay, Agadir, Souss-Massa, Morocco"
612,Dominium Cafe,no mark,"Bd Abdelkrim El Khatabi Quartier Founty, Agadir, Souss-Massa, Morocco"
613,Shahraman Food,no mark,"N 4 Rue Kawakibi, Agadir, Souss-Massa, Morocco"
614,Restaurant ALQIMA,no mark,"Marina, Agadir, Souss-Massa, Morocco"
615,Dar Twajen,no mark,"2 Immeuble Talbi avenue, Agadir, Souss-Massa, Morocco"
616,Boreal,no mark,"Imm R19 L12 Agadir Bay, Agadir, Agadir, Souss-Massa, Morocco"
617,La Blanche Hermine,5,"3 avenue Omar Khiam Amsernat, Agadir, Souss-Massa, Morocco"
618,Maria,no mark,"Rue Oued Ziz, Agadir, Souss-Massa, Morocco"
619,Kunefti,no mark,"Hay Mohamadi, Agadir, Souss-Massa, Morocco"
620,TISLEMT CAFE RESTAURANT,5,"LOT N 147 EL MERS DCHEIRA, Inezgane, Agadir, Souss-Massa, Morocco"
621,Restaurant Z,no mark,"Bd Du 20 Aout, Agadir, Souss-Massa, Morocco"
622,Shahraman Food,no mark,"5 Rue Kawakibi, Agadir, Souss-Massa, Morocco"
623,Miam miam fish,no mark,"68 Avenue Khalid Ibn Oualid, Agadir, Souss-Massa, Morocco"
624,Katai Sushi,no mark,"Quartier Hay Mohammadi Fal Oumlil, Agadir, Agadir, Souss-Massa, Morocco"
625,Pirhana,no mark,"Agadir, Souss-Massa, Morocco"
626,Allo Pizza Tacos,no mark,"25 Av. Mohammed Ikbal, Agadir, Souss-Massa, Morocco"
627,Pasta Lovers,5,"No 12 Residence Khalij Annakhil, Agadir, Souss-Massa, Morocco"
628,Le Bazar Elegant,5,"1 Rue ibn taymya, Amicales des fonctionnaires, Agadir, Souss-Massa, Morocco"
629,Freshmania,no mark,"84, immeuble 34 Avenue des FAR, Agadir, Souss-Massa, Morocco"
