,resto name,mark,location
140,Portofino,4,"279 Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
141,L'Adresse Gueliz,4,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
142,Le Grand Balcon Cafe Glacier,3,"Jemaa El Fna, Marrakech, Marrakech-Safi, Morocco"
143,L'O A LA BOUCHE - Marrakech,5,"4 rue Badr, Marrakech, Marrakech-Safi, Morocco"
144,Malak Emeraude,4,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
145,LE PALACE,4,"Avenue Echouhada, Marrakech, Marrakech-Safi, Morocco"
146,Le Bougainvillier Restaurant,3.5,"33 Rue Mouassine, Marrakech, Marrakech-Safi, Morocco"
147,Mandala Society Essaouira,4.5,"Avenue de l'Istiqlal, Essaouira, Marrakech-Safi, Morocco"
148,Kech Burger,4.5,"39 Rue Mohamed El Bakkal, Marrakech, Marrakech-Safi, Morocco"
149,Bombay Marrakech,4.5,"29 Rue Ibn Aicha, Marrakech, Marrakech-Safi, Morocco"
150,Chez Lamine,4,"Rue Ibn Aicha a, Marrakech, Marrakech-Safi, Morocco"
151,Chez Chegrouni,3.5,"Place Djemaa Al Fnaa, Marrakech, Marrakech, Marrakech-Safi, Morocco"
152,Restaurant Andalous,4.5,"102 Rue Dabachi Medina, Marrakech, Marrakech-Safi, Morocco"
153,Manzil la Tortue,5,"Km12, Route de Ouarzazate, Marrakech, Marrakech-Safi, Morocco"
154,Les Premices,3,"place Jamaa fnaa, Marrakech, Marrakech-Safi, Morocco"
155,La Porte Du Monde,3.5,"Toualat Kennaria No 69, Marrakech, Marrakech-Safi, Morocco"
156,Red Marrakech,4.5,"97 Ayres Road, Stretford, Trafford, Greater Manchester, England, United Kingdom"
157,Ame et Saveurs,4.5,"38, Prince Moulay Rachid -Medina, Marrakech, Marrakech-Safi, Morocco"
158,Al Baraka,4,"1, Place Jamaa El Fna, Marrakech, Marrakech-Safi, Morocco"
159,Stalls in the Square,3.5,"Jemaa El Fna, Marrakech, Marrakech-Safi, Morocco"
160,Terrasses Des Arts,5,"5 Derb L'Hotel Bab Doukala, Marrakech, Marrakech-Safi, Morocco"
161,Cafe Jardin Majorelle Marrakech,4,"Avenue Yarcob El Mansour, Marrakech, Marrakech-Safi, Morocco"
162,Aqua,3.5,"68 Place De Jamaa El Fna Medina, Marrakech, Marrakech-Safi, Morocco"
163,L'Auberge Espagnole,4.5,"Street Corner Tarik Ibn Ziad and Moulay Ali, Marrakech, Marrakech-Safi, Morocco"
164,M Rooftop by Medina Heritage,4.5,"58, Quartier Lakssour Fhel Zefriti, Marrakech, Marrakech-Safi, Morocco"
165,Patisserie Gato,5,"Rue Hassania, gueliz, a Deux Pas De La Clinique Chifa, Marrakech, Marrakech-Safi, Morocco"
166,Restaurant Cafe Regue Jamaa,4.5,"Rue Fatima Ezzahra N91, Marrakech, Marrakech-Safi, Morocco"
167,ViaVia Morocco Marrakech,5,"3 Rue Fandak, Marrakech, Marrakech-Safi, Morocco"
168,La Palette Restaurant Marrakech,5,"24 Rue Moulay Ali, Marrakech, Marrakech-Safi, Morocco"
169,Nobu Restaurant Marrakech,4.5,"Av. Echouhada Et, Rue Du Temple, Marrakech, Marrakech-Safi, Morocco"
170,Mandala Society Marrakech,4.5,"159, Rue Riad Zaytun Jdid, Marrakech, Marrakech-Safi, Morocco"
171,marrakech cafe,4.5,"6257 E 21st St N, Wichita, Kansas"
172,Terrasse de la fontaine,4.5,"118 Rue mouassine, Marrakech, Marrakech-Safi, Morocco"
173,L'Ocean Bleu Marrakech,4.5,"Residence Le Gueliz - Imm B - Restaurant l'Ocean - Route de Targa, Marrakech, Marrakech-Safi, Morocco"
174,Kasbah Du Toubkal Restaurant,4.5,"Toubkal National Park, Imlil, Marrakech-Safi, Morocco"
175,Restaurant Mabrouka,2.5,"Rue Bab Agnaou, Marrakech, Marrakech-Safi, Morocco"
176,Restaurant Bombay Marrakech,4,"7 Rue Ibn Zaidoun, Marrakech, Marrakech-Safi, Morocco"
177,Dar tazi,4.5,"Kaat Bennahid Souk Ahel, N 44, Marrakech, Marrakech-Safi, Morocco"
178,Votre Table,5,"Kennaria Immeuble el Biaz Numero 3, Marrakech, Marrakech-Safi, Morocco"
179,Koulchi Zine,4.5,"164 Riad Zitoune Lakdim, Marrakech, Marrakech-Safi, Morocco"
180,La Table du Marche,4,"4 Angle Avenue Echouhada, Marrakech, Marrakech-Safi, Morocco"
181,Knock Knock restaurant,4.5,"Derb Ftheu Ftouh Medina, Marrakech, Marrakech-Safi, Morocco"
182,Atlas Golf Marrakech,4.5,"Route d'Amizmiz BP 2064, Marrakech, Marrakech-Safi, Morocco"
183,Terrasse Bakchich,4.5,"Talaa 294, Marrakech, Marrakech-Safi, Morocco"
184,"La Table, Royal Mansour Marrakech",4.5,"Rue Abou El Abbas Sebti, Marrakech, Marrakech-Safi, Morocco"
185,L'mdina Marrakech,5,"42 Rue Des Banque, Marrakech, Marrakech-Safi, Morocco"
186,Le 6,4.5,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
187,Le Jardin,4,"Rue Haroun Errachid, Marrakech, Marrakech-Safi, Morocco"
188,La Creperie de Marrakech,4.5,"14 Petit Marche de Gueliz, Marrakech, Marrakech-Safi, Morocco"
189,Montecristo Marrakech,4,"20 Rue Benaicha, Marrakech, Marrakech-Safi, Morocco"
190,Dar Donab Le Restaurant,4.5,"53, Dar El Basha-Bab Doukkala, Marrakech, Marrakech-Safi, Morocco"
191,Le Warner Marrakech,4.5,"Avenue Yacoub el Marini, Marrakech, Marrakech-Safi, Morocco"
192,Restaurant Naima Marrakech,4.5,"Rue Azbest No. 30, Marrakech, Marrakech-Safi, Morocco"
193,Le Tire Bouchon Marrakech,5,"Angle Rue Loubnane et Rue Souriya Gueliz, Marrakech, Marrakech-Safi, Morocco"
194,Marrakech Salisbury,4.5,"140 Fisherton Street, Salisbury, Wiltshire, England, United Kingdom"
195,Marrakech Grill,4.5,"Denver, Colorado"
196,Jo's,4.5,"Residence Le Palacio, Marrakech, Marrakech-Safi, Morocco"
197,Bigua Cafe & Restaurant,4.5,"No 74, Rue Sidi Ishaq, Marrakech, Marrakech-Safi, Morocco"
198,Le Petit Thai,4.5,"22 Rue Tarik Ibn Ziad, Marrakech, Marrakech-Safi, Morocco"
199,Little Italy Marrakech,4.5,"48 Rue Mohamed El Beqal, Marrakech, Marrakech-Safi, Morocco"
200,Gm Cafe Gourmet,5,"Croisement Av. Moulay Hassan Et Rue Imam Malik, Marrakech, Marrakech-Safi, Morocco"
201,PERSONA Marrakech,5,"Rue des Vieux Marrakchis, Marrakech, Marrakech-Safi, Morocco"
202,Casa Lalla Restaurant,5,"Riad Zitoun Lakdime 16 Derb Jamaa, Marrakech, Marrakech-Safi, Morocco"
203,Zushi,4.5,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
204,La Cour des Lions,4.5,"Rue Ibrahim El Mazini, Marrakech, Marrakech-Safi, Morocco"
205,A.Montana,5,"60 Derb Jdid Douar Graoua, Marrakech, Marrakech-Safi, Morocco"
206,Cantobar,4,"38/39 Avenue Moulay El Hassan, Marrakech, Marrakech-Safi, Morocco"
207,Zeitoun Gueliz,4.5,"213 Avenue Moahmed V, Marrakech, Marrakech-Safi, Morocco"
208,Las Terrazas De Andalucia,4.5,"Hotel El Andalous, Avenue du President Kennedy, Marrakech, Marrakech-Safi, Morocco"
209,Color Safra-SOUS RESERVATION,4.5,"Rue Ben Salah 3, Marrakech, Marrakech-Safi, Morocco"
210,Table de la Medina,4.5,"1 Derb Maaden Sidi Abdelaziz, Marrakech, Marrakech-Safi, Morocco"
211,Restaurant Terrasse La Medersa,4.5,"Souk Ahl Fes, Marrakesh, Maroc, Marrakech, Marrakech-Safi, Morocco"
212,La Table Ocre,5,"91 Avenue Homman Fetouaki, Marrakech, Marrakech-Safi, Morocco"
213,Cafe Caravan,4.5,"Riad Larrousse 151, Marrakech, Marrakech-Safi, Morocco"
214,Delices Strouza,5,"95 rue de Yugoslavia, Marrakech, Marrakech-Safi, Morocco"
215,Bacha Coffee,4.5,"Route Sidi Abdelaziz, Marrakech, Marrakech-Safi, Morocco"
216,My Taher,5,"9 Rue des Banques, Marrakech, Marrakech-Safi, Morocco"
217,L’Amazigh Rooftop,4.5,"38 Moulay Tayeb, Marrakech, Marrakech-Safi, Morocco"
218,Chateau Marrakech riyadh,4,"Alandalus  Mall, Ulya St, Al Ulya district Riyadh, Riyadh, Riyadh Province, Saudi Arabia"
219,Restaurant Le Marrakech Bordeaux,4,"15 rue Saint Remi, Bordeaux, Gironde, Nouvelle-Aquitaine, France"
220,Restaurant Marrakech,4,"Tafraoute Centre, Tafraoute, Souss-Massa, Morocco"
221,Nikki Beach,3.5,"Circuit de la Palmeraie, Marrakech, Marrakech-Safi, Morocco"
222,La Table de La Kasbah,4.5,"Derb Hajra, Bab Agnaou, Kasbah, Marrakech, Marrakech-Safi, Morocco"
223,The Capaldi Restaurant,4.5,"Km 39, route de Amizmiz, Marrakech, Marrakech-Safi, Morocco"
224,Dar El Walidin Chez Jamjami Monssif,4.5,"Riad Laarous, Marrakech, Marrakech-Safi, Morocco"
225,Le Pavillon De La Piscine,4.5,"Avenue Bab Jdid, Marrakech, Marrakech-Safi, Morocco"
226,Restaurante Teteria Marrakech,3.5,"Calle Espalda de San Nicolas, 9, 18010 Granada, Spain, Granada, Province of Granada, Andalucia, Spain"
227,Cafe Guerrab,4.5,"40 Souk Ablouh Jamaa Fna, Marrakech, Marrakech-Safi, Morocco"
228,Ma Maison,4.5,"64 Arset Aouzal Bab Doukkala Medina, Marrakech, Marrakech-Safi, Morocco"
229,La Paillote,4.5,"Km 4 Route d'Amizmiz, Marrakech, Marrakech-Safi, Morocco"
230,Lost in Marrakech,4.5,"156 Darb Snane, Medina, Marrakech, Marrakech-Safi, Morocco"
231,Kafe Merstan,4.5,"2 Rue Souk Chaaria Kast Benahid, Marrakech, Marrakech-Safi, Morocco"
232,Amornakoch restaurant cafe,4.5,"26 Qesabin Place Jemaa El Fna, Marrakech, Marrakech-Safi, Morocco"
233,Chili's,3.5,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
234,La Table Al Badia at Riad Al Badia,5,"135 Derb Ahl Souss, Marrakech, Marrakech-Safi, Morocco"
235,Ling Ling Marrakech,4,"Route du Golf Royal, Marrakech, Marrakech-Safi, Morocco"
236,Fluffy,5,"91 Hommane Fetouaki, Marrakech, Marrakech-Safi, Morocco"
237,Restaurant El Bahja,4.5,"Rue Bani Marine, Marrakech, Marrakech-Safi, Morocco"
238,Mazel مزال Cafe,5,"8 Place des Ferblontiers, Marrakech, Marrakech-Safi, Morocco"
239,Le Jasmin Restaurant and Bar,4.5,"200 Rue du Mechouar, Marrakech, Marrakech-Safi, Morocco"
240,Queen Atlantic,4.5,"Place Du 16 Novembre, Marrakech, Marrakech-Safi, Morocco"
241,O Mammy Burger Marrakech,4,"Interieur du Complexe Prestigia Avenue Mohamed VI, Marrakech, Marrakech-Safi, Morocco"
242,monquotidien Gueliz,4.5,"41-43 Rue Yougoslavie, Marrakech, Marrakech-Safi, Morocco"
243,Quattro Marrakech,4.5,"1 Boulevard de la Menara, Marrakech, Marrakech-Safi, Morocco"
244,Cafe - Restaurant Bab Ftouh,4.5,"64 place Ftouh Marrakech GSM, Marrakech, Marrakech-Safi, Morocco"
245,Marrakech,4.5,"370 Evans Bay Parade, Wellington, Greater Wellington, North Island, New Zealand"
246,Restaurant Max by Riad Elisa,4.5,"21 rue Sidi Lyamani Ksour, Marrakech, Marrakech-Safi, Morocco"
247,Layali Karoun Iranian Restaurant,4.5,"1 Rue Ibn Habbous, Marrakech, Marrakech-Safi, Morocco"
248,Saladbox,4.5,"2 Avenue Yacoub El marini, Marrakech, Marrakech-Safi, Morocco"
249,Souk,3.5,"27 Litchfield Street, London, England, United Kingdom"
250,Le Charly's Cabana,4,"39,Bd Zerktouni,, Marrakech, Marrakech-Safi, Morocco"
251,Winoo,4,"77, Corner of Rue Mauritania and Bd Moulay Rachid, Marrakech, Marrakech-Safi, Morocco"
252,Falafel Terrace,5,"Rue Fatima Zahra 21, Marrakech, Marrakech-Safi, Morocco"
253,Le relais du Lac Marrakech,4.5,"Barrage, Marrakech, Marrakech-Safi, Morocco"
254,Marrakesh Restaurant,4.5,"King Abdullah Street, Al Khobar, Eastern Province, Saudi Arabia"
255,Piu Piu Marrakech,4.5,"10 Rue Oued El Makhazine, Marrakech, Marrakech, Marrakech-Safi, Morocco"
