,hotel name,mark,location
201,Moroccan Surf Journey,5,"Hay Tissaliouine, Tamraght, Agadir, Souss-Massa, Morocco"
202,Moroccan Surf Adventures,5,"Imi Ouaddar, Souss-Massa, Morocco"
203,Maison Anarjis B&B,5,"No 3 Rue 1055, Inezgane, Agadir, Souss-Massa, Morocco"
204,Dar Fatima,4.5,"Grande rue, Taroudant, Souss-Massa, Morocco"
205,La Tour De Toile,4.5,"Village Dachra Ouled Brahim, Commune Rur, Taroudant, Souss-Massa, Morocco"
206,Riad Le Jardin de Lea,4.5,"41 Derb El Mezgour, Marrakech, Marrakech-Safi, Morocco"
207,Riad Anma,5,"Route d'Oulad Aarfa, Taroudant, Souss-Massa, Morocco"
208,Riad Maia,5,"12 Tassoukt Ighezifen, Taroudant, Souss-Massa, Morocco"
209,Hotel L'Arganier D'Ammelne,4.5,"4 km De Tafraoute Sur La Route d'Agadir, Tafraoute, Souss-Massa, Morocco"
210,Villa Sunset B&B,4.5,"Rue de Essauira km 11, Aourir, Souss-Massa, Morocco"
211,Camel Safari Camp,5,"Ksar Hassilabied-Merzouga, Merzouga, Draa-Tafilalet, Morocco"
212,Riad Auberge Zolado,5,"Km 69 sur la route de Marrakech, Tazarine, Souss-Massa, Morocco"
213,Olo Surf House,4.5,"445 Lotissement Amadel, Imsouane, Souss-Massa, Morocco"
214,Maison Darna Guesthouse,5,"Hay Tamraght, Tamraght, Agadir, Souss-Massa, Morocco"
215,Hotel Royal,3,"Avenue Mohamed 5, Agadir, Souss-Massa, Morocco"
216,Le Rio Appart-hotel,4,"Avenue Mohammed 6, Tangier, Tanger-Tetouan-Al Hoceima, Morocco"
217,Jnan El Harti,2,"30 Rue Cadi Ayad, Marrakech, Marrakech-Safi, Morocco"
218,Feelin'good Resort,4,"16 10th Mile Post (Km, Ella, Uva Province, Sri Lanka"
219,Palais Riad Hida,4,"Riad HidaOuled Berhil.Province Taroudant, Taroudant, Souss-Massa, Morocco"
220,Riad du Pecheur Safi,4.5,"1 Rue de la Crete, Safi, Marrakech-Safi, Morocco"
221,Roof House Taghazout,5,"34 Rue Irguen, Taghazout, Souss-Massa, Morocco"
222,Riad Dar Najat,5,"Derb Lalla Chacha 18, Marrakech, Marrakech-Safi, Morocco"
223,Belle de Mai,4,"7 km El-ghazoua, Essaouira, Marrakech-Safi, Morocco"
224,Aftas surf House beach Apartments,4,"55 Rue Ayought, Taghazout, Souss-Massa, Morocco"
225,Terre d'Ocean Camping,4,"BP 186, Poste d'Aourir, Taghazout, Souss-Massa, Morocco"
226,Villa Saada,4,"Km 15 Route d'Agadir, Essaouira, Marrakech-Safi, Morocco"
227,Residence Hoteliere Rofaida,4,"Secteur H, Parcelle N 3 , Founty, Agadir, Souss-Massa, Morocco"
228,Dar Naima Auberge Cafe Restaurant,3.5,"99 Imsouane, Imsouane, Souss-Massa, Morocco"
229,Lunja Village,3.5,"Km 30 Route D Essaouira, Imi Ouaddar, Souss-Massa, Morocco"
230,Residence Agyad,2,"Secteur Balneaire Et Touristique Cite Founty, Agadir, Souss-Massa, Morocco"
231,Teranga Hotel & SPA,3.5,"Rue Capitaine Ben Ali Belhaj, Marrakech, Marrakech-Safi, Morocco"
232,Hotel Ribis,2.5,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
233,Auberge Askaoun,3.5,"Bp 98 Rn 10, Taliouine, Souss-Massa, Morocco"
234,Zen Surf Morocco,5,"Rue de la Plage - Banana Beach, Tamraght, Agadir, Souss-Massa, Morocco"
235,Riad Dar Emotion,5,"18 Rue Maleck Ben El Morahal, Essaouira, Marrakech-Safi, Morocco"
236,Dar Najmat,4.5,"Plage Sidi Mohammed Ben Abdallah, Mirleft, Souss-Massa, Morocco"
237,Escale Rando Taliouine - chambres d'hotes,4.5,"Province de Taroudant, Taliouine, Souss-Massa, Morocco"
238,Hotel Villa Soleil,4.5,"Sidi Kaouki, Marrakech-Safi, Morocco"
239,Riad Al Andaluz,4.5,"71, Diour Jdad Zaouia El Abassia, Marrakech, Marrakech-Safi, Morocco"
240,Lapoint Surf Camp Morocco,4.5,"Taghazout, Souss-Massa, Morocco"
241,Riad Dar Assalama,4.5,"5 Rue Allal El Ouaqaoui, derb Agadir, Essaouira, Marrakech-Safi, Morocco"
242,Riad des Etoiles,4.5,"120, Derb Ahel Sousse, Marrakech, Marrakech-Safi, Morocco"
243,Les Terrasses de l'Atlas,5,"Douar Afensou, Taroudant, Souss-Massa, Morocco"
244,Hotel Tifrit,4.5,"Vallee du Paradis Imouzzer Ida Outanane Region d'Agadir, Agadir, Souss-Massa, Morocco"
245,Blue Mind Surf & Yoga Tribe,5,"Hay Tissalouine, Tamraght, Agadir, Souss-Massa, Morocco"
246,Riad Wow,4.5,"9, Jbel Lakhdar R'mila, Marrakech, Marrakech-Safi, Morocco"
247,Residence Tislit,4,"Avenue du prince heritier Sidi Med, Agadir, Souss-Massa, Morocco"
248,La Maison Des Artistes (LMDA),4.5,"19 Rue Laalouj, Essaouira, Marrakech-Safi, Morocco"
249,DarZahia,5,"175 Derb Chrif, Taroudant, Souss-Massa, Morocco"
