,hotel name,mark,location
108,Riad Snan13,5,"Derb Snan, 13. Mouassine, Marrakech, Marrakech-Safi, Morocco"
109,Hotel Le Caspien,4,"12 Rue Lobnane, Marrakech, Marrakech-Safi, Morocco"
110,Kasbah Bab Ourika,4.5,"Tnine Ourika, Ourika, Marrakech-Safi, Morocco"
111,Riad Dar Thania,5,"64 derb Jdid, Marrakech, Marrakech-Safi, Morocco"
112,Palais Sebban,4.5,"43 Derb Moulay Abdellah Ben Hsseine, Marrakech, Marrakech-Safi, Morocco"
113,The Red House,5,"Avenue El Yarmouk, Marrakech, Marrakech-Safi, Morocco"
114,Valeria Dar Atlas Resort,4,"Km 12, Route de Fes, Marrakech, Marrakech-Safi, Morocco"
115,"Radisson Blu Hotel, Marrakech Carre Eden",4.5,"166-176 Avenue Mohamed, Marrakech, Marrakech-Safi, Morocco"
116,Dar Fakir,4.5,"16 Derb Abou El Fadail, Kennaria, Marrakech, Marrakech-Safi, Morocco"
117,Royal Mansour Marrakech,4.5,"Rue Abou Abbas El Sebti, Marrakech, Marrakech-Safi, Morocco"
118,Riad Cinnamon,4.5,"9 Derb el Hajra, Marrakech, Marrakech-Safi, Morocco"
119,Dar Mo'da,5,"182 rue el Moussine, Marrakech, Marrakech-Safi, Morocco"
120,Riad Vert Marrakech,4.5,"48 Derb Jdid Lakbir, Marrakech, Marrakech-Safi, Morocco"
121,Kasbah Du Toubkal,4.5,"Toubkal National Park, Imlil, Marrakech-Safi, Morocco"
122,Zalagh Kasbah Hotel And Spa,3,"Zone Touristique Agdal Avenue, Marrakech, Marrakech-Safi, Morocco"
123,Riad Yasmine,5,"209 Rue Ank Jemel, Marrakech, Marrakech-Safi, Morocco"
124,Riad Diana,4.5,"85 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
125,Labranda Targa Club Aqua Parc,4,"Douar Bouchareb, Marrakech, Marrakech-Safi, Morocco"
126,Riad Reves d'Orient,5,"44 Derd Abib Allah, Marrakech, Marrakech-Safi, Morocco"
127,Riad Aguaviva,5,"St. Sidi Ghanem, Derb Derraz 3, Marrakech, Marrakech-Safi, Morocco"
128,Riad Charme d'Orient,5,"Touareg Street 61, Ksibet N'Hass, Marrakech, Marrakech-Safi, Morocco"
129,Dar Zemora,5,"Rue el Aandalib, Marrakech, Marrakech-Safi, Morocco"
130,Riad Dar Tiflet,5,"14 derb Gnaoua, Marrakech, Marrakech-Safi, Morocco"
131,Riad Jaaneman,5,"12 Derb Sraghna, Dar El Bacha, Marrakech, Marrakech-Safi, Morocco"
132,Riad Romance,5,"Derb El Baroud 26, Hart Soura, Marrakech, Marrakech-Safi, Morocco"
133,Riad Vanilla sma,5,"166 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
134,Riad Dar Yema,5,"188 Bis Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
135,Riad Zara,5,"294 Derb Ben Salek, Marrakech, Marrakech-Safi, Morocco"
136,Fairmont Royal Palm Marrakech,4.5,"Km 12 Route d'Amizmiz, Marrakech, Marrakech-Safi, Morocco"
137,Dar Ilham,5,"13 Km , Route de Fes, Marrakech, Marrakech-Safi, Morocco"
138,Riad Joya,5,"Hay Mouassine, Marrakech, Marrakech-Safi, Morocco"
139,Be Live Experience Marrakech Palmeraie,4.5,"Lot B6, Zone de Zahrat Annakhil, Marrakech, Marrakech-Safi, Morocco"
140,Riad Les Nuits de Marrakech,5,"134, Derb Gach Gach, Derb Dabachi, Marrakech, Marrakech-Safi, Morocco"
141,Club Med Marrakech La Palmeraie,4.5,"Sidi Yahya la Palmeraie, Marrakech, Marrakech-Safi, Morocco"
142,Hotel El Andalous Lounge & Spa,3,"Avenue President Kennedy, Marrakech, Marrakech-Safi, Morocco"
143,Riad Amirat Al Jamal,5,"33 Rue Fhal Zefritti, Marrakech, Marrakech-Safi, Morocco"
144,Riad Carina,4.5,"76 Rue Berrima, Marrakech, Marrakech-Safi, Morocco"
145,Marrakech Ryads Parc & Spa,4,"Douar Ouled Benrrahmoun Ouahat Sidi Brahim, Marrakech, Marrakech-Safi, Morocco"
146,ALTAIR - Riad Guest House,5,"21, derb Zaouia, Marrakech, Marrakech-Safi, Morocco"
147,Es Saadi Marrakech Resort Hotel,4,"Rue Ibrahim El Mazini, Marrakech, Marrakech-Safi, Morocco"
148,Riad Puchka,4.5,"24 derb Hadada, Marrakech, Marrakech-Safi, Morocco"
149,Riad Et Spa Misria Les Orangers,4.5,"17 Derb Anboub, Marrakech, Marrakech-Safi, Morocco"
150,Red Hotel Marrakech,4,"Angle Avenue Mohammed VI Et Avenue Hassan II, Marrakech, Marrakech-Safi, Morocco"
151,Labranda Rose Aqua Parc,4,"Boulevard Mohamed VI, Marrakech, Marrakech-Safi, Morocco"
152,Atlas Medina & Spa,3.5,"Ave Hassan 1er, Marrakech, Marrakech-Safi, Morocco"
153,Les Deux Tours,4.5,"Circuit de la Palmeraie - BP, 153, Marrakech, Marrakech-Safi, Morocco"
154,Moroccan House Hotel,3.5,"3 Rue Lobnane, Marrakech, Marrakech-Safi, Morocco"
155,Riad Mandalay,4.5,"59 Derb Harbil, Marrakech, Marrakech-Safi, Morocco"
